iter	Passed	Remaining
910	3223	314
911	3225	311
912	3228	307
913	3230	303
914	3232	300
915	3235	296
916	3237	293
917	3241	289
918	3244	285
919	3247	282
920	3250	278
921	3252	275
922	3255	271
923	3260	268
924	3263	264
925	3266	261
926	3270	257
927	3273	254
928	3277	250
929	3281	246
930	3285	243
931	3290	240
932	3293	236
933	3298	233
934	3301	229
935	3303	225
936	3306	222
937	3310	218
938	3313	215
939	3316	211
940	3318	208
941	3321	204
942	3324	200
943	3327	197
944	3329	193
945	3333	190
946	3335	186
947	3338	183
948	3341	179
949	3344	176
950	3347	172
951	3350	168
952	3353	165
953	3356	161
954	3358	158
955	3360	154
956	3362	151
957	3365	147
958	3367	143
959	3371	140
960	3373	136
961	3380	133
962	3387	130
963	3394	126
964	3398	123
965	3401	119
966	3404	116
967	3409	112
968	3413	109
969	3416	105
970	3419	102
971	3421	98
972	3424	95
973	3427	91
974	3429	87
975	3432	84
976	3434	80
977	3436	77
978	3438	73
979	3440	70
980	3443	66
981	3445	63
982	3447	59
983	3451	56
984	3453	52
985	3455	49
986	3457	45
987	3460	42
988	3462	38
989	3466	35
990	3470	31
991	3472	28
992	3476	24
993	3479	21
994	3481	17
995	3484	13
996	3486	10
997	3488	6
998	3492	3
999	3495	0
